SENADOR,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
Acir Gurgacz - PDT/RO,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,?,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?
Aécio Neves - PSDB/MG,Ncom,?,?,Sim,Sim,Ncom,Ncom,?,?,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,?,Sim
Airton Sandoval - PMDB/SP,Sim,?,?,?,?,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim,?,Não,Não,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,?
Aloysio Nunes Ferreira - PSDB/SP,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Não
Alvaro Dias - PSDB/PR,Sim,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Sim
Ana Amélia - PP/RS,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Não,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,?,Sim,Sim,?,Sim,Não,Sim,Sim
Ângela Portela - PT/RR,Sim,?,?,P-NRV,Não,P-NRV,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Não,P-NRV,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Antonio Anastasia - PSDB/MG,Sim,Sim,Sim,?,Sim,Sim,P-NRV,?,Sim,Não,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,?,Sim,Sim,?,Sim,Não,?,Sim
Antonio Carlos Valadares - PSB/SE,?,Sim,Sim,Sim,P-NRV,?,?,Sim,Não,Não,?,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Sim,P-NRV,Sim,?,P-NRV,P-NRV,?,P-NRV,Sim
Armando Monteiro - PTB/PE,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Ataídes Oliveira - PSDB/TO,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,Sim,P-NRV,P-NRV,Não
Benedito de Lira - PP/AL,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Blairo Maggi - PR/MT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cássio Cunha Lima - PSDB/PB,Sim,?,?,?,Sim,P-NRV,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,?,Sim,?,?,?,?
Cidinho Santos - PR/MT,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Ciro Nogueira - PP/PI,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,?,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,P-NRV,P-NRV,Não,P-NRV,Sim,Sim,Sim
Cristovam Buarque - PDT/DF,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,?,?,Não,?,?,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,?,P-NRV,Sim,?,P-NRV,Sim,P-NRV,Sim
Dalirio Beber - PSDB/SC,Sim,P-NRV,P-NRV,Sim,Sim,Sim,P-NRV,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim
Dário Berger - PMDB/SC,Sim,?,?,Sim,?,Sim,Sim,Sim,Sim,Não,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,?,Não,Sim,?,P-NRV,Sim,?,P-NRV
Davi Alcolumbre - DEM/AP,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,Ncom,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim
Deca - PSDB/PB,?,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Sim
Delcídio do Amaral - PT/MS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Donizeti Nogueira - PT/TO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Douglas Cintra - PTB/PE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Edison Lobão - PMDB/MA,?,Sim,Sim,Sim,Sim,?,?,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim
Eduardo Amorim - PSC/SE,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,P-NRV,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim
Eduardo Braga - PMDB/AM,Sim,Ncom,Ncom,Sim,Sim,Sim,Sim,?,P-NRV,Sim,Sim,Não,P-NRV,Sim,Sim,?,P-NRV,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,P-NRV
Eduardo Lopes - PRB/RJ,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,?,Não,Sim,Sim,Sim,Sim,Sim,?,Não,?,Sim,Sim,Sim,Sim,?,?,Sim,Não,Sim,?,Sim,Sim,?,?,Não,P-NRV,?
Elber Batalha - PSB/SE,?,?,?,?,?,?,?,?,?,?,P-NRV,?,Sim,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,Não,?,?
Elmano Férrer - PTB/PI,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Eunício Oliveira - PMDB/CE,?,?,?,Sim,P-NRV,?,?,?,?,?,Ncom,?,?,Ncom,?,?,?,Sim,?,Sim,Ncom,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,P-NRV
Fátima Bezerra - PT/RN,Sim,P-NRV,Não,Não,Não,Não,Não,P-NRV,Não,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,?,Sim,P-NRV,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Fernando Bezerra Coelho - PSB/PE,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,P-NRV,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?,Sim,P-NRV,?,Sim,P-NRV,Sim,Sim,Sim,Sim
Fernando Collor - PTB/AL,P-NRV,?,?,?,Sim,P-NRV,P-NRV,Sim,Sim,?,?,Não,Sim,Sim,Sim,?,P-NRV,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,P-NRV,?,Sim,?,P-NRV,P-NRV,?,?,P-NRV,Sim,Sim
Fernando Ribeiro - PMDB/PA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Flexa Ribeiro - PSDB/PA,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Garibaldi Alves Filho - PMDB/RN,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim
Gladson Cameli - PP/AC,Sim,?,?,?,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,P-NRV,?,Sim,?,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Sim,Sim,P-NRV,Sim,P-NRV,P-NRV,?,Sim
Gleisi Hoffmann - PT/PR,Sim,Ncom,Ncom,Não,Não,?,?,?,Não,Sim,Não,?,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Sim,?,Sim,?,?,Não,?,Sim,Sim
Hélio José - PSD/DF,P-NRV,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,Não,P-NRV,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?,P-NRV,P-NRV,Sim,Sim
Humberto Costa - PT/PE,Sim,Não,P-NRV,Não,Não,Não,P-NRV,?,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim
Ivo Cassol - PP/RO,Sim,Sim,Sim,?,P-NRV,Sim,Sim,?,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Jader Barbalho - PMDB/PA,?,?,?,?,Sim,?,?,P-NRV,?,P-NRV,Sim,Não,P-NRV,Sim,P-NRV,Ncom,P-NRV,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,?,P-NRV,Sim,?,?,P-NRV
João Alberto Souza - PMDB/MA,P-NRV,Sim,Sim,?,P-NRV,Sim,Sim,Sim,?,Não,Sim,Não,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim
João Capiberibe - PSB/AP,Sim,?,?,?,Não,Não,Não,Não,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,?,Não,?,?,Sim,Sim
Jorge Viana - PT/AC,Sim,P-NRV,P-NRV,?,P-NRV,Não,Não,Não,Não,?,Não,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,?,Não,P-NRV,Sim,P-NRV,Sim
José Agripino - DEM/RN,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim
José Aníbal - PSDB/SP,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,P-NRV,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,P-NRV,?,?,Não
José Maranhão - PMDB/PB,P-NRV,Sim,Sim,?,Sim,Sim,P-NRV,?,?,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim
José Medeiros - PPS/MT,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,P-NRV,P-NRV,?,Sim,Sim,P-NRV,Não,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim
José Pimentel - PT/CE,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
José Serra - PSDB/SP,Sim,?,?,?,?,Sim,P-NRV,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Não,?,?
Kátia Abreu - PMDB/TO,?,?,?,?,?,?,?,?,Não,Não,?,Sim,Sim,?,P-NRV,?,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,?,?,?,?,P-NRV,?,P-NRV,P-NRV,P-NRV,Sim
Lasier Martins - PDT/RS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,?,Sim,Sim,Não,Não,Sim
Lídice da Mata - PSB/BA,Sim,P-NRV,P-NRV,?,Não,P-NRV,Não,Não,Não,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,?,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim
Lindbergh Farias - PT/RJ,Sim,Não,Não,?,Não,Não,P-NRV,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,?,Sim,Não,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Lúcia Vânia - PSDB/GO,?,Sim,P-NRV,?,P-NRV,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV
Luiz Henrique - PMDB/SC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Magno Malta - PR/ES,P-NRV,?,?,P-NRV,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,Não,Sim,?,Sim,Sim,Não,Sim,?,Sim
Marcelo Crivella - PRB/RJ,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,P-NRV,?,?,?
Maria do Carmo Alves - DEM/SE,P-NRV,?,?,?,P-NRV,P-NRV,Sim,Sim,P-NRV,Não,?,Não,P-NRV,Sim,Sim,?,P-NRV,?,Sim,?,Sim,Sim,P-NRV,P-NRV,P-NRV,?,P-NRV,P-NRV,Sim,?,P-NRV,?,?,?,?,P-NRV,?
Marta Suplicy - PT/SP,P-NRV,?,?,?,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim
Omar Aziz - PSD/AM,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Ncom,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim
Otto Alencar - PSD/BA,Sim,Sim,Sim,?,P-NRV,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim
Pastor Valadares - PDT/RO,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Sim
Paulo Bauer - PSDB/SC,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Paulo Paim - PT/RS,Sim,?,?,?,Não,Não,Não,?,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,P-NRV
Paulo Rocha - PT/PA,Sim,Não,Não,Não,Não,P-NRV,Não,?,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,P-NRV
Pedro Chaves - PSC/MS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Ncom,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim
Pinto Itamaraty - PSDB/MA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,P-NRV
