SENADOR,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
Gleisi Hoffmann - PT/PR,Sim,Ncom,Ncom,Não,Não,AP,AP,AP,Não,Sim,Não,MIS,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Sim,AP,Sim,AP,AP,Não,AP,Sim,Sim
Hélio José - PSD/DF,P-NRV,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,Não,P-NRV,MIS,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Sim,Sim,Sim,Sim,Sim,MIS,Sim,Sim,MIS,P-NRV,P-NRV,Sim,Sim
Humberto Costa - PT/PE,Sim,Não,P-NRV,Não,Não,Não,P-NRV,AP,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim
Ivo Cassol - PP/RO,Sim,Sim,Sim,AP,P-NRV,Sim,Sim,AP,Sim,AP,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Jader Barbalho - PMDB/PA,AP,AP,AP,AP,Sim,AP,AP,P-NRV,AP,P-NRV,Sim,Não,P-NRV,Sim,P-NRV,Ncom,P-NRV,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,AP,Sim,Sim,P-NRV,Sim,AP,P-NRV,Sim,AP,AP,P-NRV
João Alberto Souza - PMDB/MA,P-NRV,Sim,Sim,AP,P-NRV,Sim,Sim,Sim,LS,Não,Sim,Não,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Sim
João Capiberibe - PSB/AP,Sim,AP,AP,AP,Não,Não,Não,Não,LS,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,AP,Não,AP,AP,Sim,Sim
Jorge Viana - PT/AC,Sim,P-NRV,P-NRV,AP,P-NRV,Não,Não,Não,Não,MIS,Não,MIS,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,AP,Não,P-NRV,Sim,P-NRV,Sim
José Agripino - DEM/RN,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim
José Aníbal - PSDB/SP,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,P-NRV,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,P-NRV,?,?,Não
José Maranhão - PMDB/PB,P-NRV,Sim,Sim,AP,Sim,Sim,P-NRV,AP,AP,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,LS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,AP,Sim,Sim,Sim,AP,Sim
José Medeiros - PPS/MT,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,Abstenção,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,MIS,Sim,P-NRV,P-NRV,AP,Sim,Sim,P-NRV,Não,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim
José Pimentel - PT/CE,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
José Serra - PSDB/SP,Sim,?,?,?,?,Sim,P-NRV,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Não,LS,?
Kátia Abreu - PMDB/TO,LS,AP,AP,AP,AP,LS,LS,MIS,Não,Não,MIS,Sim,Sim,LS,P-NRV,?,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,AP,AP,MIS,AP,P-NRV,MIS,P-NRV,P-NRV,P-NRV,Sim
Lasier Martins - PDT/RS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,AP,Sim,Sim,Não,Não,Sim
Lídice da Mata - PSB/BA,Sim,P-NRV,P-NRV,MIS,Não,P-NRV,Não,Não,Não,MIS,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,MIS,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim
Lindbergh Farias - PT/RJ,Sim,Não,Não,AP,Não,Não,P-NRV,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,AP,Sim,Não,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Lúcia Vânia - PSDB/GO,Abstenção,Sim,P-NRV,AP,P-NRV,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV
Luiz Henrique - PMDB/SC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Magno Malta - PR/ES,P-NRV,AP,AP,P-NRV,Sim,Sim,Sim,AP,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,AP,Sim,Sim,Sim,AP,Sim,Sim,Sim,Sim,AP,Não,Sim,AP,Sim,Sim,Não,Sim,AP,Sim
Marcelo Crivella - PRB/RJ,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,AP,?,?,?,?,?,?,?,P-NRV,?,?,AP
Maria do Carmo Alves - DEM/SE,P-NRV,LP,LP,LP,P-NRV,P-NRV,Sim,Sim,P-NRV,Não,LS,Não,P-NRV,Sim,Sim,LS,P-NRV,?,Sim,?,Sim,Sim,P-NRV,P-NRV,P-NRV,?,P-NRV,P-NRV,Sim,LS,P-NRV,LS,LS,?,LS,P-NRV,?
Marta Suplicy - PT/SP,P-NRV,LP,LP,LP,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,LP,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,LP,Não,Sim,Sim
Omar Aziz - PSD/AM,Sim,Sim,Sim,AP,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Ncom,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim
Otto Alencar - PSD/BA,Sim,Sim,Sim,AP,P-NRV,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim
Pastor Valadares - PDT/RO,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Sim
Paulo Bauer - PSDB/SC,Sim,Sim,Sim,Sim,Sim,Sim,Sim,AP,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Paulo Paim - PT/RS,Sim,AP,AP,AP,Não,Não,Não,AP,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,P-NRV
Paulo Rocha - PT/PA,Sim,Não,Não,Não,Não,P-NRV,Não,AP,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,P-NRV
Pedro Chaves - PSC/MS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Ncom,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim
Pinto Itamaraty - PSDB/MA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,P-NRV
Raimundo Lira - PMDB/PB,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,LS,LS,Não,LS,Não,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,LS,Sim,Sim,LS,Sim,Não,Sim,Sim
Randolfe Rodrigues - PSOL/AP,Sim,P-NRV,P-NRV,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Regina Sousa - PT/PI,Sim,AP,AP,AP,Não,Não,Não,LS,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Abstenção,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,MIS,Sim,Não,MIS,Sim,Não,Não,Sim,Sim,Sim
Reguffe - PDT/DF,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,P-NRV
Renan Calheiros - PMDB/AL,AP,Presidente (art. 51 RISF),Presidente (art. 51 RISF),Presidente (art. 51 RISF),Sim,P-NRV,Sim,AP,Não,Sim,P-NRV,Não,Sim,Sim,Sim,P-NRV,P-NRV,Presidente (art. 51 RISF),Sim,Presidente (art. 51 RISF),Sim,P-NRV,Sim,Sim,Sim,Presidente (art. 51 RISF),AP,P-NRV,Sim,Sim,P-NRV,AP,Sim,Presidente (art. 51 RISF),Sim,Sim,Presidente (art. 51 RISF)
Ricardo Ferraço - PMDB/ES,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,?,?,MIS,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Não,Não,?,Sim,?,?,Sim,?,P-NRV,Sim
Ricardo Franco - DEM/SE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Roberto Muniz - PP/BA,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,MIS,AP,Sim,Sim
Roberto Requião - PMDB/PR,Sim,Abstenção,P-NRV,MIS,P-NRV,P-NRV,Não,Não,Não,Sim,Não,Sim,Sim,Sim,AP,P-NRV,MIS,Sim,P-NRV,P-NRV,AP,Sim,Sim,P-NRV,P-NRV,Não,MIS,Sim,Sim,AP,Sim,Sim,AP,Não,Não,P-NRV,P-NRV
Roberto Rocha - PSB/MA,Sim,P-NRV,Sim,P-NRV,P-NRV,Sim,Sim,Ncom,AP,Não,Ncom,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,?,Sim,Sim,?
Romário - PSB/RJ,Sim,Sim,P-NRV,AP,P-NRV,Sim,Sim,P-NRV,Não,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Não,LS,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Não,Sim
Romero Jucá - PMDB/RR,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Não,Sim,Não,P-NRV,Sim,Sim,MIS,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,MIS,Sim,Sim
Ronaldo Caiado - DEM/GO,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,LS,LS,LS,Sim,LS,Sim,Sim,LS,Sim,Sim,LS,Sim,Sim,Sim,LS,Sim,Sim,LS,Sim,LS,Sim,LS,LS,LS,LS,Não,LS,Não,LS
Rose de Freitas - PMDB/ES,P-NRV,Sim,Sim,Sim,AP,Sim,Sim,AP,AP,Não,Sim,AP,Ncom,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Ncom,Não,Sim,P-NRV,Sim,P-NRV
Sandra Braga - PMDB/AM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sérgio de Castro - PDT/ES,?,?,?,?,?,?,?,?,?,Não,Não,?,Sim,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,Sim,?,Sim,?,?
Sérgio Petecão - PSD/AC,Sim,AP,AP,AP,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,MIS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Votou,Não,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim
Simone Tebet - PMDB/MS,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,MIS,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Não,MIS,Sim,Sim,MIS,Sim,Não,P-NRV,Sim
Tasso Jereissati - PSDB/CE,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,AP,Não,AP,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LP,Não,Sim,MIS,Sim,Sim,MIS,Sim,Não,Sim,Sim
Telmário Mota - PDT/RR,Abstenção,P-NRV,Sim,Sim,?,P-NRV,P-NRV,Não,Sim,P-NRV,AP,Não,Sim,Sim,Sim,Sim,AP,Sim,?,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Não,Não,P-NRV,Sim,Sim,P-NRV,Não,Sim,Sim,Sim
Thieres Pinto - PTB/RR,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Valdir Raupp - PMDB/RO,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,AP,Sim,Sim,Sim,P-NRV,Sim
Vanessa Grazziotin - PCdoB/AM,Sim,Não,Não,Não,Não,Não,Não,Não,Não,MIS,Não,MIS,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,MIS,Sim
Vicentinho Alves - PR/TO,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,MIS,P-NRV,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,P-NRV,Sim
Virginio de Carvalho - PSC/SE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,LP,?,?,?,?,?,LP,?,?,?,?,?,?,?,P-NRV,?,?,LP
Waldemir Moka - PMDB/MS,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,LS,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim
Walter Pinheiro - PT/BA,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Wellington Fagundes - PR/MT,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,AP,Sim,Sim,MIS,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,MIS,Sim,Sim,MIS,Sim,Sim,Sim,Sim
Wilder Morais - DEM/GO,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Abstenção,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim
Wirlande da Luz - PMDB/RR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zeze Perrella - PDT/MG,AP,AP,AP,Sim,P-NRV,AP,AP,AP,Sim,Não,AP,Não,P-NRV,Sim,AP,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,AP,Sim,P-NRV,P-NRV,P-NRV,AP,Sim,AP,AP,Sim,AP,P-NRV,P-NRV,Sim,Sim
